['24157031', 'C0443252', 'Temporal Concept', 'Long-term', 'Long Term', 'Phrase: Long-term outcome of liver transplantation']
['24157031', 'C1274040', 'Functional Concept', 'Result', 'Outcome', 'Phrase: Long-term outcome of liver transplantation']
['24157031', 'C0023911', 'Therapeutic or Preventive Procedure', 'Transplantation of liver', 'Transplantation of Liver', 'Phrase: Long-term outcome of liver transplantation']
['24157031', 'C0205195', 'Qualitative Concept', '', 'Combined ', 'Phrase: for combined hepatocellular carcinoma']
['24157031', 'C2239176', 'Neoplastic Process', 'Liver carcinoma', 'HEPATOCELLULAR CARCINOMA', 'Phrase: for combined hepatocellular carcinoma']
['24157031', 'C0206698', 'Neoplastic Process', '', 'Cholangiocarcinoma ', 'Phrase: cholangiocarcinoma.']
['24157031', 'C1285529', 'Functional Concept', '', 'Purpose ', 'Phrase: PURPOSE']
['24157031', 'C0205195', 'Qualitative Concept', '', 'Combined ', 'Phrase: Combined hepatocellular carcinoma']
['24157031', 'C2239176', 'Neoplastic Process', 'Liver carcinoma', 'HEPATOCELLULAR CARCINOMA', 'Phrase: Combined hepatocellular carcinoma']
['24157031', 'C0206698', 'Neoplastic Process', 'Cholangiocarcinoma', 'Cholangiocellular Carcinoma', 'Phrase: cholangiocellular carcinoma']
['24157031', 'C0522498', 'Qualitative Concept', '', 'Rare ', 'Phrase: a rare pair of intrahepatic malignancies.']
['24157031', 'C1709450', 'Qualitative Concept', '', 'Pair ', 'Phrase: a rare pair of intrahepatic malignancies.']
['24157031', 'C1512948', 'Spatial Concept', 'intrahepatic', 'Intrahepatic', 'Phrase: a rare pair of intrahepatic malignancies.']
['24157031', 'C0006826', 'Neoplastic Process', 'Malignant Neoplasms', 'MALIGNANCIES', 'Phrase: a rare pair of intrahepatic malignancies.']
['24157031', 'C0011906', 'Diagnostic Procedure', 'Differential Diagnosis', 'Diagnosis, Differential', 'Phrase: Differential diagnosis among       combined HCC-CCC,']
['24157031', 'C0205195', 'Qualitative Concept', '', 'Combined ', 'Phrase: Differential diagnosis among       combined HCC-CCC,']
['24157031', 'C2239176', 'Neoplastic Process', 'Liver carcinoma', 'HEPATOCELLULAR CARCINOMA', 'Phrase: Differential diagnosis among       combined HCC-CCC,']
['24157031', 'C0206698', 'Neoplastic Process', 'Cholangiocarcinoma', 'Cholangiocellular Carcinoma', 'Phrase: Differential diagnosis among       combined HCC-CCC,']
['24157031', 'C2239176', 'Neoplastic Process', 'Liver carcinoma', 'HEPATOCELLULAR CARCINOMA', 'Phrase: HCC,']
['24157031', 'C0206698', 'Neoplastic Process', 'Cholangiocarcinoma', 'Cholangiocellular Carcinoma', 'Phrase: CCC']
['24157031', 'C0332218', 'Qualitative Concept', 'Difficult (qualifier value)', 'Difficult', 'Phrase: difficult']
['24157031', 'C0345904', 'Neoplastic Process', 'Malignant neoplasm of liver', 'Hepatocellular malignancies', 'Phrase: ; thus malignancies other than       ordinary HCC']
['24157031', 'C0007097', 'Neoplastic Process', 'Carcinoma', 'CARCINOMA', 'Phrase: ; thus malignancies other than       ordinary HCC']
['24157031', 'C0006826', 'Neoplastic Process', 'Malignant Neoplasms', 'MALIGNANCIES', 'Phrase: ; thus malignancies other than       ordinary HCC']
['24157031', 'C2239176', 'Neoplastic Process', 'Liver carcinoma', 'HEPATOCELLULAR CARCINOMA', 'Phrase: ; thus malignancies other than       ordinary HCC']
['24157031', 'C1998882', 'Temporal Concept', 'Sometimes', 'Occasionally', 'Phrase: occasionally']
['24157031', 'C0545082', 'Behavior', 'Visit', 'Encounter', 'Phrase: encountered']
['24157031', 'C3830290', 'Finding', 'Explanted Medical Device', 'EXPLANTED', 'Phrase: unexpectedly in explanted liver       specimens.']
['24157031', 'C0736268', 'Body Part, Organ, or Organ Component', 'Liver parenchyma', 'LIVER', 'Phrase: unexpectedly in explanted liver       specimens.']
['24157031', 'C0370003', 'Substance', 'Specimen', 'specimens', 'Phrase: unexpectedly in explanted liver       specimens.']
['24157031', 'C0150312', 'Quantitative Concept', '', 'Present ', 'Phrase: The present study']
['24157031', 'C2603343', 'Research Activity', '', 'Study ', 'Phrase: The present study']
['24157031', 'C0936012', 'Research Activity', 'Analysis', 'Analyzed', 'Phrase: analyzed']
['24157031', 'C0443252', 'Temporal Concept', 'Long-term', 'Long Term', 'Phrase: the long-term outcomes of liver       transplantation']
['24157031', 'C1274040', 'Functional Concept', 'Result', 'Outcome', 'Phrase: the long-term outcomes of liver       transplantation']
['24157031', 'C0023911', 'Therapeutic or Preventive Procedure', 'Transplantation of liver', 'Transplantation of Liver', 'Phrase: the long-term outcomes of liver       transplantation']
['24157031', 'C0030705', 'Patient or Disabled Group', '', 'Patients ', 'Phrase: among patients with HCC-CCC.']
['24157031', 'C2239176', 'Neoplastic Process', 'Liver carcinoma', 'HEPATOCELLULAR CARCINOMA', 'Phrase: among patients with HCC-CCC.']
['24157031', 'C0206698', 'Neoplastic Process', 'Cholangiocarcinoma', 'Cholangiocellular Carcinoma', 'Phrase: among patients with HCC-CCC.']
['24157031', 'C0025664', 'Intellectual Product', 'Methods aspects', 'METHODS', 'Phrase: METHODS']
['24157031', 'C3829466', 'Qualitative Concept', '', 'January ', 'Phrase: Between January 1999']
['24157031', 'C3830550', 'Qualitative Concept', '', 'December ', 'Phrase: December 2009,']
['24157031', 'C0884358', 'Functional Concept', '', 'Performed ', 'Phrase: performed']
['24157031', 'C0001675', 'Age Group', 'Adult', 'ADULT', 'Phrase: 2137 adult OLT']
['24157031', 'C1274040', 'Functional Concept', 'Result', 'Outcome', 'Phrase: 2137 adult OLT']
['24157031', 'C0023911', 'Therapeutic or Preventive Procedure', 'Transplantation of liver', 'Transplantation of Liver', 'Phrase: 2137 adult OLT']
['24157031', 'C0018704', 'Health Care Related Organization', 'Health care facility', 'Institution', 'Phrase: at our institution']
['24157031', 'C0018704', 'Manufactured Object', 'Health care facility', 'Institution', 'Phrase: at our institution']
['24157031', 'C0332257', 'Functional Concept', 'Including (qualifier)', 'Including', 'Phrase: including']
['24157031', 'C1533148', 'Quantitative Concept', 'Case unit dose', 'Cases', 'Phrase: 15       cases of']
['24157031', 'C0750484', 'Idea or Concept', 'Confirmation', 'Confirmed', 'Phrase: confirmed']
